,dr7objid,ra,dec,p_el,p_cs,t_el,t_cs,t_dk
39,587722952232075553,240.5818,-0.4326667,0.0,1.0,0,1,0
40,587722952232075750,240.691,-0.5707222,0.866999983787537,0.100000001490116,1,0,0
41,587722952232141267,240.7934,-0.5139444,0.882000029087067,0.061999998986721,1,0,0
42,587722952232206682,240.8927,-0.5963333,0.178000003099442,0.800000011920929,0,1,0
43,587722952232206828,240.9709,-0.497,0.814999997615814,0.111000001430511,1,0,0
44,587722952232206838,240.9795,-0.5023889,0.870000004768372,0.0869999974966049,1,0,0
45,587722952232206839,240.9767,-0.4978333,0.773999989032745,0.0970000028610229,1,0,0
46,587722952232206862,240.9902,-0.6216667,0.842000007629395,0.0879999995231628,1,0,0
47,587722952232272316,241.0827,-0.5015833,0.153999999165535,0.846000015735626,0,1,0
48,587722952232337637,241.2609,-0.4266389,0.825999975204468,0.0869999974966049,1,0,0
49,587722952232337734,241.1649,-0.4250556,0.0419999994337559,0.958000004291534,0,1,0
50,587722952232403195,241.4197,-0.4977222,0.846000015735626,0.0379999987781048,1,0,0
51,587722952232403336,241.3206,-0.4880556,0.133000001311302,0.833000004291534,0,1,0
52,587722952232403409,241.3634,-0.5315,0.855000019073486,0.0810000002384186,1,0,0
53,587722952232403442,241.3788,-0.5242778,0.0689999982714653,0.75900000333786,0,1,0
54,587722952232403453,241.3875,-0.4996111,0.870000004768372,0.0710000023245811,1,0,0
55,587722952232403479,241.3983,-0.5664167,0.875,0.111000001430511,1,0,0
56,587722952232468539,241.4742,-0.5504444,0.913999974727631,0.0480000004172325,1,0,0
57,587722952232468953,241.4993,-0.4705278,0.0,1.0,0,1,0
58,587722952232534272,241.744,-0.5956666,0.108999997377396,0.879999995231628,0,1,0
59,587722952232534556,241.7416,-0.5226111,0.84799998998642,0.0820000022649765,1,0,0
60,587722952232599909,241.8214,-0.4829167,0.83899998664856,0.12899999320507,1,0,0
61,587722952232599938,241.8292,-0.4439722,0.0,1.0,0,1,0
62,587722952232599976,241.845,-0.4728056,0.781000018119812,0.0939999967813492,1,0,0
63,587722952232665418,241.9123,-0.4355833,0.85699999332428,0.10700000077486,1,0,0
64,587722952232665643,242.0313,-0.5869722,0.769999980926514,0.174999997019768,1,0,0
65,587722952232731128,242.1129,-0.5838611,0.828000009059906,0.172000005841255,1,0,0
66,587722952232796593,242.2122,-0.4913611,0.836000025272369,0.0820000022649765,1,0,0
67,587722952232796631,242.2326,-0.4713611,0.061999998986721,0.938000023365021,0,1,0
68,587722952232796713,242.2747,-0.5746389,0.0309999994933605,0.968999981880188,0,1,0
69,587722952232796793,242.304,-0.5065556,0.825999975204468,0.17399999499321,1,0,0
70,587722952232862006,242.3648,-0.5549445,0.166999995708466,0.800000011920929,0,1,0
71,587722952232862040,242.3907,-0.4196945,0.14300000667572,0.841000020503998,0,1,0
72,587722952232927644,242.5595,-0.5607222,0.906000018119812,0.0309999994933605,1,0,0
73,587722952232927760,242.6103,-0.4714722,0.787000000476837,0.105999998748302,1,0,0
74,587722952232927763,242.6117,-0.4393889,0.211999997496605,0.758000016212463,0,1,0
75,587722952232992862,242.6937,-0.5613334,0.222000002861023,0.203999996185303,0,0,1
76,587722952232993318,242.7635,-0.6224722,0.921000003814697,0.0509999990463257,1,0,0
77,587722952233058383,242.8478,-0.42025,0.0430000014603138,0.0,0,0,1
78,587722952233124242,242.9548,-0.4464722,0.170000001788139,0.829999983310699,0,1,0
79,587722952233320901,243.4761,-0.6150556,0.759999990463257,0.200000002980232,1,0,0
80,587722952233320990,243.512,-0.5431666,0.820999979972839,0.10700000077486,1,0,0
81,587722952233386188,243.6585,-0.4391667,0.0829999968409538,0.0,0,0,1
82,587722952233386282,243.6877,-0.4675556,0.0,1.0,0,1,0
83,587722952233386404,243.5849,-0.4699167,0.833000004291534,0.0560000017285347,1,0,0
84,587722952233582904,244.1292,-0.5825555,0.825999975204468,0.129999995231628,1,0,0
85,587722952233582961,244.141,-0.5888333,0.115000002086163,0.808000028133392,0,1,0
86,587722952233648860,244.2849,-0.4555,0.922999978065491,0.0769999995827675,1,0,0
87,587722952233779659,244.4968,-0.4984167,0.0,1.0,0,1,0
88,587722952233779694,244.5119,-0.4345556,0.929000020027161,0.0359999984502792,1,0,0
89,587722952233910896,244.8739,-0.5072222,0.828999996185303,0.028999999165535,1,0,0
90,587722952233975864,244.9219,-0.5032778,0.861999988555908,0.120999999344349,1,0,0
91,587722952233975894,244.9355,-0.47925,0.111000001430511,0.870000004768372,0,1,0
92,587722952233976394,244.9256,-0.4558333,0.811999976634979,0.187999993562698,1,0,0
93,587722952234041794,245.1023,-0.4936667,0.181999996304512,0.787999987602234,0,1,0
94,587722952234041906,245.1434,-0.4616944,0.767000019550323,0.133000001311302,1,0,0
95,587722952234041932,245.1516,-0.5054722,0.825999975204468,0.17399999499321,1,0,0
96,587722952234107395,245.2217,-0.5456945,0.824999988079071,0.0879999995231628,1,0,0
97,587722952234173020,245.4268,-0.5725278,0.894999980926514,0.0260000005364418,1,0,0
98,587722952234369042,245.8009,-0.5680556,0.101999998092651,0.0199999995529652,0,0,1
99,587722952234369224,245.8637,-0.4301667,0.939999997615814,0.0149999996647239,1,0,0
100,587722952234369599,245.8755,-0.4383889,0.115000002086163,0.827000021934509,0,1,0
101,587722952234369661,245.8951,-0.4592222,0.824000000953674,0.0590000003576279,1,0,0
102,587722952234369752,245.931,-0.4375,0.758000016212463,0.0480000004172325,1,0,0
103,587722952234434650,245.9785,-0.4834722,0.794000029563904,0.025000000372529,1,0,0
104,587722952234435224,246.0185,-0.4365,0.892000019550323,0.0270000007003546,1,0,0
105,587722952234566062,246.2527,-0.4775278,0.768999993801117,0.171000003814697,1,0,0
106,587722952234566228,246.3143,-0.5409445,0.0570000000298023,0.85699999332428,0,1,0
107,587722952234631965,246.5151,-0.5901111,0.767000019550323,0.100000001490116,1,0,0
108,587722952234762287,246.6956,-0.5101111,0.0,0.954999983310699,0,1,0
109,587722952234762660,246.8068,-0.5851111,0.194000005722046,0.0320000015199184,0,0,1
110,587722952234828368,246.8881,-0.5363889,0.194000005722046,0.773999989032745,0,1,0
111,587722952234893755,246.9959,-0.4895556,0.0329999998211861,0.967000007629395,0,1,0
112,587722952235352374,248.1203,-0.4788611,0.0750000029802322,0.899999976158142,0,1,0
113,587722952235614861,248.7008,-0.50625,0.0,1.0,0,1,0
114,587722952235680461,248.8945,-0.4523333,0.189999997615814,0.810000002384186,0,1,0
115,587722952235745450,248.9867,-0.4220278,0.0309999994933605,0.061999998986721,0,0,1
116,587722952235745454,248.9935,-0.4203056,0.0,0.0,0,0,1
117,587722952235811094,249.202,-0.4966389,0.200000002980232,0.0,0,0,1
118,587722952235876661,249.3406,-0.4201944,0.0670000016689301,0.017000000923872,0,0,1
119,587722952235942646,249.4965,-0.4984722,0.0590000003576279,0.929000020027161,0,1,0
120,587722952236007606,249.6288,-0.4780556,0.773999989032745,0.160999998450279,1,0,0
121,587722952236138732,249.9114,-0.4510278,0.846000015735626,0.103000000119209,1,0,0
122,587722952498544776,236.1862,-0.4888333,0.0970000028610229,0.758000016212463,0,1,0
123,587722952498545078,236.2051,-0.5851389,0.816999971866608,0.0500000007450581,1,0,0
124,587722952767111434,236.3799,-0.1525556,0.860000014305115,0.119999997317791,1,0,0
125,587722952767111581,236.4634,-0.05583333,0.200000002980232,0.757000029087067,0,1,0
126,587722952767177564,236.5553,-0.08711111,0.783999979496002,0.0810000002384186,1,0,0
127,587722952767242437,236.7518,-0.05633333,0.929000020027161,0.0359999984502792,1,0,0
128,587722952767242546,236.8072,-0.1421944,0.879000008106232,0.0450000017881393,1,0,0
129,587722952767242657,236.7126,-0.1739722,0.902999997138977,0.0970000028610229,1,0,0
130,587722952767242686,236.7235,-0.07702778,0.153999999165535,0.846000015735626,0,1,0
131,587722952767242758,236.7598,-0.1033333,0.0390000008046627,0.940999984741211,0,1,0
132,587722952767242869,236.6864,-0.01952778,0.768999993801117,0.0379999987781048,1,0,0
133,587722952767373480,237.0825,-0.2024444,0.0230000000447035,0.00499999988824129,0,0,1
134,587722952767373517,237.096,-0.05138889,0.138999998569489,0.0,0,0,1
135,587722952767373781,237.102,-0.1043056,0.14300000667572,0.795000016689301,0,1,0
136,587722952767439282,237.1791,-0.07019445,0.114000000059605,0.85699999332428,0,1,0
137,587722952767439324,237.2011,-0.06730556,0.907000005245209,0.0570000000298023,1,0,0
138,587722952767439331,237.2022,-0.0004444444,0.866999983787537,0.0670000016689301,1,0,0
139,587722952767439411,237.2323,-0.1731389,0.777999997138977,0.166999995708466,1,0,0
140,587722952767439450,237.257,-0.1166667,0.0900000035762787,0.896000027656555,0,1,0
141,587722952767504829,237.3732,-0.09480555,0.782999992370605,0.17399999499321,1,0,0
142,587722952767504906,237.2864,-0.001111111,0.805999994277954,0.0649999976158142,1,0,0
143,587722952767570312,237.4986,-0.02647222,0.754999995231628,0.0610000006854534,1,0,0
144,587722952767570441,237.4938,-0.07161111,0.861999988555908,0.0529999993741512,1,0,0
145,587722952767635743,237.596,-0.006638889,0.207000002264977,0.776000022888184,0,1,0
146,587722952767635978,237.6788,-0.09263889,0.825999975204468,0.0540000014007092,1,0,0
147,587722952767766866,237.9421,-0.07658333,0.75900000333786,0.034000001847744,1,0,0
148,587722952767766870,237.9451,-0.1051667,0.972000002861023,0.0149999996647239,1,0,0
149,587722952767832448,238.0819,-0.1436389,0.792999982833862,0.103000000119209,1,0,0
150,587722952767898021,238.2778,-0.08272222,0.758000016212463,0.151999995112419,1,0,0
151,587722952767898051,238.2963,-0.1687778,0.816999971866608,0.133000001311302,1,0,0
152,587722952767963568,238.429,-0.05072222,0.185000002384186,0.796000003814697,0,1,0
153,587722952767963608,238.456,-0.005972222,0.861999988555908,0.0689999982714653,1,0,0
154,587722952768094406,238.7367,-0.2093889,0.0,1.0,0,1,0
155,587722952768225671,238.9775,-0.1251667,0.767000019550323,0.0329999998211861,1,0,0
156,587722952768291199,239.1933,-0.1030833,0.773000001907349,0.136000007390976,1,0,0
157,587722952768487573,239.5971,-0.115,0.906000018119812,0.0469999983906746,1,0,0
158,587722952768487892,239.64,-0.07455555,0.865000009536743,0.0769999995827675,1,0,0
159,587722952768684475,240.0365,-0.02166667,0.851000010967255,0.0599999986588955,1,0,0
160,587722952768749621,240.137,-0.1662778,0.0450000017881393,0.908999979496002,0,1,0
161,587722952768750021,240.1514,-0.176,0.159999996423721,0.0399999991059303,0,0,1
162,587722952768750022,240.1515,-0.1783889,0.12899999320507,0.0970000028610229,0,0,1
163,587722952768750028,240.1515,-0.07705556,0.763000011444092,0.158000007271767,1,0,0
164,587722952768815586,240.37,-0.08638889,0.10700000077486,0.89300000667572,0,1,0
165,587722952768946635,240.6537,-0.1519167,0.962000012397766,0.0379999987781048,1,0,0
166,587722952768946669,240.6655,-0.08652778,0.957000017166138,0.0430000014603138,1,0,0
167,587722952769012324,240.8257,-0.03605556,0.133000001311302,0.866999983787537,0,1,0
168,587722952769077298,240.8828,-0.1491111,0.794000029563904,0.175999999046326,1,0,0
169,587722952769077639,240.8885,-0.1278889,0.174999997019768,0.824999988079071,0,1,0
170,587722952769077804,240.9788,-0.1524167,0.777999997138977,0.111000001430511,1,0,0
171,587722952769208464,241.2295,-0.08175,0.78600001335144,0.10700000077486,1,0,0
172,587722952769208619,241.3076,-0.1095833,0.0149999996647239,0.00700000021606684,0,0,1
173,587722952769208741,241.2225,-0.04747222,0.861999988555908,0.137999996542931,1,0,0
174,587722952769208742,241.2199,-0.03852778,0.181999996304512,0.818000018596649,0,1,0
175,587722952769208789,241.2438,-0.1230556,0.875,0.061999998986721,1,0,0
176,587722952769274199,241.3298,-0.1407222,0.962999999523163,0.0370000004768372,1,0,0
177,587722952769274225,241.3452,-0.03838889,0.156000003218651,0.843999981880188,0,1,0
178,587722952769339945,241.5513,-0.1304722,0.0869999974966049,0.870000004768372,0,1,0
179,587722952769339976,241.5782,-0.03591667,0.865000009536743,0.135000005364418,1,0,0
180,587722952769405128,241.7177,-0.005222222,0.061999998986721,0.187999993562698,0,0,1
181,587722952769470580,241.8065,-0.07877778,0.913999974727631,0.0740000009536743,1,0,0
182,587722952769471022,241.846,-0.1645833,0.0700000002980232,0.912000000476837,0,1,0
183,587722952769471050,241.8545,-0.1661667,0.0379999987781048,0.922999978065491,0,1,0
184,587722952769536621,242.0484,-0.1182222,0.808000028133392,0.153999999165535,1,0,0
185,587722952769602099,242.1845,-0.05425,0.902999997138977,0.0399999991059303,1,0,0
186,587722952769667424,242.2195,-0.1717222,0.0659999996423721,0.934000015258789,0,1,0
187,587722952769732823,242.4354,-0.07011111,0.166999995708466,0.767000019550323,0,1,0
188,587722952769733125,242.4332,-0.1151389,0.18299999833107,0.246999993920326,0,0,1
189,587722952769733169,242.4463,-0.08433333,0.804000020027161,0.157000005245209,1,0,0
190,587722952769798261,242.5445,-0.1769444,0.930000007152557,0.028999999165535,1,0,0
191,587722952769798740,242.6209,-0.1337222,0.851999998092651,0.111000001430511,1,0,0
192,587722952769863985,242.6893,-0.11675,0.887000024318695,0.0439999997615814,1,0,0
193,587722952769864056,242.7198,-0.005416667,0.0309999994933605,0.968999981880188,0,1,0
194,587722952769864065,242.7245,-0.03758333,0.875,0.061999998986721,1,0,0
195,587722952769929698,242.8293,-0.09438889,0.935999989509583,0.025000000372529,1,0,0
196,587722952769929745,242.8444,-0.07563889,0.78600001335144,0.14300000667572,1,0,0
197,587722952769929872,242.8988,-0.01544444,0.0,0.968999981880188,0,1,0
198,587722952769995115,243.0839,-0.1571945,0.809000015258789,0.105999998748302,1,0,0
199,587722952769995267,242.9996,-0.1350833,0.836000025272369,0.0729999989271164,1,0,0
200,587722952769995436,243.0764,-0.05125,0.0480000004172325,0.934000015258789,0,1,0
201,587722952770060539,243.2368,-0.09625,0.0,1.0,0,1,0
202,587722952770060545,243.237,-0.1001944,0.0109999999403954,0.981000006198883,0,1,0
203,587722952770060946,243.2356,-0.1248889,0.764999985694885,0.146999999880791,1,0,0
204,587722952770256980,243.6035,-0.2070833,0.0689999982714653,0.913999974727631,0,1,0
205,587722952770257358,243.5832,-0.03155556,0.874000012874603,0.101999998092651,1,0,0
206,587722952770388394,243.8673,-0.184,0.211999997496605,0.758000016212463,0,1,0
207,587722952770584682,244.3231,-0.2068889,0.908999979496002,0.090999998152256,1,0,0
208,587722952770650870,244.5815,-0.01708333,0.757000029087067,0.118000000715256,1,0,0
209,587722952770781926,244.8756,-0.03852778,0.0109999999403954,0.986999988555908,0,1,0
210,587722952770912939,245.1237,-0.1847778,0.234999999403954,0.216000005602837,0,0,1
211,587722952771043424,245.3819,-0.07236111,0.933000028133392,0.0670000016689301,1,0,0
212,587722952771044022,245.466,-0.20325,0.828000009059906,0.0670000016689301,1,0,0
213,587722952771240476,245.7973,-0.1092778,0.118000000715256,0.842999994754791,0,1,0
214,587722952771306089,245.9814,-0.1718333,0.842000007629395,0.0260000005364418,1,0,0
215,587722952771436592,246.253,-0.09472222,0.878000020980835,0.101999998092651,1,0,0
216,587722952771436711,246.3121,-0.002194444,0.0240000002086163,0.00499999988824129,0,0,1
217,587722952771437120,246.2951,-0.1805278,0.771000027656555,0.166999995708466,1,0,0
218,587722952771568014,246.6794,-0.08366667,0.759999990463257,0.0149999996647239,1,0,0
219,587722952771568327,246.6055,-0.06344444,0.224999994039536,0.774999976158142,0,1,0
220,587722952771568382,246.6201,-0.02025,0.153999999165535,0.795000016689301,0,1,0
221,587722952771896174,247.425,-0.1671111,0.0379999987781048,0.884999990463257,0,1,0
222,587722952771961085,247.5308,-0.1934444,0.0320000015199184,0.935000002384186,0,1,0
223,587722952772026713,247.6785,-0.08169445,0.824999988079071,0.150000005960464,1,0,0
224,587722952772092373,247.8497,-0.03605556,0.160999998450279,0.805999994277954,0,1,0
225,587722952772092409,247.8638,-0.03144445,0.833000004291534,0.0670000016689301,1,0,0
226,587722952772092565,247.7495,-0.1148889,0.814999997615814,0.0370000004768372,1,0,0
227,587722952772157725,247.9475,-0.1715833,0.0500000007450581,0.899999976158142,0,1,0
228,587722952772157791,247.9668,-0.09080555,0.130999997258186,0.851999998092651,0,1,0
229,587722952772158082,247.9158,-0.1616944,0.908999979496002,0.090999998152256,1,0,0
230,587722952772223035,248.0642,-0.04994445,0.0970000028610229,0.902999997138977,0,1,0
231,587722952772223264,248.1523,-0.09288889,0.788999974727631,0.0,1,0,0
232,587722952772223691,248.1254,-0.087,0.953999996185303,0.0160000007599592,1,0,0
233,587722952772419931,248.572,-0.07002778,0.888999998569489,0.0740000009536743,1,0,0
234,587722952772420005,248.5788,-0.09672222,0.764999985694885,0.157000005245209,1,0,0
235,587722952772551255,248.7946,-0.1176667,0.889999985694885,0.0309999994933605,1,0,0
236,587722952772748065,249.2947,-0.09661111,0.894999980926514,0.0430000014603138,1,0,0
237,587722952772748124,249.3107,-0.06469444,0.200000002980232,0.777999997138977,0,1,0
238,587722952772813749,249.5092,-0.1758889,0.796000003814697,0.148000001907349,1,0,0
239,587722952772813810,249.5344,-0.1958333,0.952000021934509,0.0,1,0,0
240,587722953303916807,236.2218,0.4043055,0.958999991416931,0.00499999988824129,1,0,0
241,587722953303916935,236.2968,0.2376111,0.028999999165535,0.971000015735626,0,1,0
242,587722953303917016,236.3492,0.2943611,0.921000003814697,0.0529999993741512,1,0,0
243,587722953303917041,236.3632,0.2151111,0.828000009059906,0.0689999982714653,1,0,0
244,587722953303917096,236.2986,0.4088333,0.962999999523163,0.0,1,0,0
245,587722953304113241,236.7567,0.4007778,0.028999999165535,0.913999974727631,0,1,0
246,587722953304113349,236.7972,0.4068889,0.0850000008940697,0.898000001907349,0,1,0
247,587722953304179044,236.8521,0.3274722,0.800000011920929,0.14300000667572,1,0,0
248,587722953304179097,236.8877,0.39,0.153999999165535,0.787999987602234,0,1,0
249,587722953304179134,236.9003,0.3690278,0.758000016212463,0.090999998152256,1,0,0
250,587722953304310105,237.1745,0.2704167,0.0450000017881393,0.954999983310699,0,1,0
251,587722953304310243,237.262,0.2598333,0.14300000667572,0.820999979972839,0,1,0
252,587722953304310324,237.236,0.3138611,0.861999988555908,0.0520000010728836,1,0,0
253,587722953304375639,237.2869,0.2416111,0.814999997615814,0.0920000001788139,1,0,0
254,587722953304375642,237.2909,0.2156111,0.75900000333786,0.137999996542931,1,0,0
255,587722953304375673,237.3201,0.3244444,0.850000023841858,0.0500000007450581,1,0,0
256,587722953304375746,237.3751,0.3458611,0.788999974727631,0.104999996721745,1,0,0
257,587722953304375760,237.3833,0.3198611,0.758000016212463,0.211999997496605,1,0,0
258,587722953304441261,237.5332,0.2308333,0.833000004291534,0.100000001490116,1,0,0
259,587722953304506655,237.6011,0.3763333,0.947000026702881,0.028999999165535,1,0,0
260,587722953304506779,237.6796,0.2191667,0.0659999996423721,0.917999982833862,0,1,0
261,587722953304506869,237.6569,0.2118889,0.846000015735626,0.0379999987781048,1,0,0
262,587722953304506881,237.6594,0.3036667,0.811999976634979,0.0419999994337559,1,0,0
263,587722953304572015,237.7983,0.3196111,0.934000015258789,0.0240000002086163,1,0,0
264,587722953304572300,237.8114,0.293,0.128000006079674,0.871999979019165,0,1,0
265,587722953304572365,237.8659,0.2355833,0.034000001847744,0.948000013828278,0,1,0
266,587722953304572388,237.7401,0.3383611,0.759999990463257,0.119999997317791,1,0,0
267,587722953304637937,238.0097,0.3353333,0.804000020027161,0.195999994874001,1,0,0
268,587722953304703250,238.1646,0.3470278,0.0419999994337559,0.00300000002607703,0,0,1
269,587722953304834385,238.3737,0.33675,0.0529999993741512,0.935999989509583,0,1,0
270,587722953304900073,238.607,0.2619444,0.0769999995827675,0.922999978065491,0,1,0
271,587722953305162001,239.0925,0.3710555,0.148000001907349,0.851999998092651,0,1,0
272,587722953305162093,239.1622,0.3511111,0.0769999995827675,0.922999978065491,0,1,0
273,587722953305227529,239.2576,0.2903333,0.894999980926514,0.0700000002980232,1,0,0
274,587722953305227532,239.2587,0.2148333,0.763000011444092,0.158000007271767,1,0,0
275,587722953305292862,239.3895,0.3161389,0.0970000028610229,0.902999997138977,0,1,0
276,587722953305358693,239.5914,0.415,0.925999999046326,0.0270000007003546,1,0,0
277,587722953305358789,239.651,0.3362778,0.882000029087067,0.0879999995231628,1,0,0
278,587722953305424105,239.6847,0.2410556,0.166999995708466,0.796000003814697,0,1,0
279,587722953305424244,239.767,0.2462222,0.0829999968409538,0.875,0,1,0
280,587722953305489433,239.8157,0.3698611,0.0860000029206276,0.792999982833862,0,1,0
281,587722953305555511,240.0723,0.2371111,0.114000000059605,0.78600001335144,0,1,0
282,587722953305620936,240.2115,0.3167778,0.0329999998211861,0.933000028133392,0,1,0
283,587722953305621018,240.2473,0.23675,0.862999975681305,0.0979999974370003,1,0,0
284,587722953305686529,240.3652,0.22475,0.888999998569489,0.0949999988079071,1,0,0
285,587722953305751968,240.5053,0.3684167,0.912000000476837,0.0879999995231628,1,0,0
286,587722953305752227,240.4984,0.31975,0.0,1.0,0,1,0
287,587722953306079262,241.17,0.4121944,0.964999973773956,0.0189999993890524,1,0,0
288,587722953306276219,241.6829,0.2625278,0.907000005245209,0.0670000016689301,1,0,0
289,587722953306341735,241.8014,0.2510833,0.187999993562698,0.811999976634979,0,1,0
290,587722953306341865,241.878,0.3173889,0.0,0.966000020503998,0,1,0
291,587722953306341898,241.8973,0.2958611,0.938000023365021,0.061999998986721,1,0,0
292,587722953306342073,241.7766,0.2388333,0.12899999320507,0.83899998664856,0,1,0
293,587722953306538347,242.2099,0.2430833,0.846000015735626,0.0769999995827675,1,0,0
294,587722953306669611,242.6122,0.2952778,0.944000005722046,0.0560000017285347,1,0,0
295,587722953306669677,242.6456,0.3016667,0.184000000357628,0.815999984741211,0,1,0
296,587722953306734635,242.6693,0.3060555,0.791999995708466,0.125,1,0,0
297,587722953306734636,242.6644,0.3028611,0.904999971389771,0.0419999994337559,1,0,0
298,587722953306734701,242.7062,0.3128611,0.903999984264374,0.0769999995827675,1,0,0
299,587722953306734939,242.6629,0.2956944,0.902999997138977,0.0970000028610229,1,0,0
300,587722953306735092,242.7337,0.3685278,0.781000018119812,0.125,1,0,0
301,587722953306735124,242.7455,0.3356111,0.168999999761581,0.754000008106232,0,1,0
302,587722953306800191,242.8277,0.2141111,0.939000010490417,0.0610000006854534,1,0,0
303,587722953306800230,242.8531,0.2533333,0.842000007629395,0.0489999987185001,1,0,0
304,587722953306800351,242.9199,0.3259722,0.950999975204468,0.0219999998807907,1,0,0
305,587722953306800502,242.8396,0.2891111,0.0379999987781048,0.962000012397766,0,1,0
306,587722953306800583,242.8921,0.2843611,0.0869999974966049,0.782999992370605,0,1,0
307,587722953306800665,242.9267,0.3880556,0.0,1.0,0,1,0
308,587722953306931329,243.1534,0.3824722,0.875,0.0,1,0,0
309,587722953307062613,243.5285,0.3861667,0.837999999523163,0.0,1,0,0
310,587722953307062849,243.5121,0.4010278,0.814999997615814,0.148000001907349,1,0,0
311,587722953307193818,243.7052,0.4062778,0.906000018119812,0.0309999994933605,1,0,0
312,587722953307193897,243.74,0.3336667,1.0,0.0,1,0,0
313,587722953307193982,243.7717,0.2339167,0.897000014781952,0.103000000119209,1,0,0
314,587722953307258983,243.8807,0.4118889,0.0,0.0,0,0,1
315,587722953307259246,243.9993,0.2432778,0.935000002384186,0.0320000015199184,1,0,0
316,587722953307259324,243.8582,0.2226111,0.846000015735626,0.0769999995827675,1,0,0
317,587722953307259496,243.9455,0.2301944,0.100000001490116,0.899999976158142,0,1,0
318,587722953307390002,244.1815,0.2464722,0.0,1.0,0,1,0
319,587722953307456026,244.3125,0.302,0.767000019550323,0.100000001490116,1,0,0
320,587722953307456154,244.38,0.2415,0.0769999995827675,0.876999974250793,0,1,0
321,587722953307521698,244.5589,0.2937222,0.0939999967813492,0.875,0,1,0
322,587722953307586974,244.6345,0.2470278,0.0719999969005585,0.898999989032745,0,1,0
323,587722953307587064,244.6625,0.3677222,0.0140000004321337,0.977999985218048,0,1,0
324,587722953307587125,244.6836,0.3553056,0.0280000008642673,0.952000021934509,0,1,0
325,587722953307783619,245.18,0.2319444,0.791999995708466,0.125,1,0,0
326,587722953307784062,245.1947,0.2294167,0.925999999046326,0.0450000017881393,1,0,0
327,587722953307848902,245.2719,0.2106389,0.0670000016689301,0.933000028133392,0,1,0
328,587722953307848966,245.2941,0.3131667,0.910000026226044,0.0379999987781048,1,0,0
